RT(milliseconds);TIC
201700;3,1419957
201800;3,42584
201900;3,0949514
202000;2,3248227
202100;2,4389064
202200;3,025331
202300;2,959474
202400;2,7284267
202500;3,424327
202600;4,448202
202700;4,483917
202800;4,141944
202900;4,267795
203000;4,990135
203100;5,719452
203200;5,655508
203300;5,7542863
203400;6,285807
203500;5,2646317
203600;3,575953
203700;3,0108812
203800;3,218433
203900;3,2844465
204000;2,3677945
204100;1,8697703
204200;2,3727155
204300;2,024775
204400;1,0226133
204500;0,94943035
204600;1,1067573
204700;0,7253541
204800;0,8091669
204900;1,661637
205000;2,5618162
205100;1,6864395
205200;0,8899744
205300;1,0990285
205400;1,2028979
205500;1,9069405
205600;2,2764616
205700;0,81139404
205800;0,1
205900;0,1
206000;0,6938704
206100;0,905214
206200;0,5973562
206300;0,9269278
206400;1,04611
206500;0,7734347
206600;0,7409458
206700;0,3419625
206800;0,1
206900;0,08884723
207000;0,88946694
207100;0,9520197
207200;0,48070318
207300;0,7120001
207400;0,7399515
207500;1,1003134
207600;0,97963995
207700;0,21615055
207800;0,22464587
207900;0,56590354
208000;0,50966954
208100;0,28079712
208200;0,0013053577
208300;0,22443868
208400;0,6565742
208500;0,7504358
208600;0,6984078
208700;0,89145637
208800;1,354422
208900;0,97466713
209000;0,07645664
209100;0,07923316
209200;0,9484775
209300;1,9445283
209400;2,6412783
209500;2,8841162
209600;3,4401789
209700;4,3045335
209800;4,0785484
209900;2,9629357
210000;3,1401742
210100;2,6634586
210200;1,0646124
210300;0,6281151
210400;0,8559109
210500;0,4642103
210600;0,062439624
210700;0,4921615
210800;0,9153775
210900;0,48896006
211000;0,05743574
211100;0,32979986
211200;0,8632972
211300;1,0144291
211400;0,76099235
211500;0,2266351
211600;0,6525752
211700;1,0928544
211800;0,21641998
211900;0,15902571
212000;1,0241258
212100;0,95632017
212200;0,93328965
212300;0,80563396
212400;1,1046643
212500;2,0490067
212600;2,421915
212700;2,376653
212800;2,4105105
212900;1,8487598
213000;1,3592505
213100;1,644357
213200;1,8638647
213300;1,5804156
213400;1,3282943
213500;1,9928042
213600;3,1325686
213700;4,434324
213800;4,098553
213900;3,9981463
214000;4,6321144
214100;4,9533997
214200;4,756496
214300;4,697714
214400;4,4943666
214500;4,5621953
214600;4,8543477
214700;5,055443
214800;5,1644826
214900;3,7253897
215000;2,7054691
215100;3,7298024
215200;4,1803975
215300;3,8697855
215400;3,3785143
215500;3,0950458
215600;2,9780068
215700;3,15768
215800;3,3632865
215900;1,9437077
216000;1,616427
216100;2,0625274
216200;1,624673
216300;1,3463417
216400;1,4917754
216500;1,9103402
216600;2,1367052
216700;2,0227864
216800;2,1390467
216900;1,5692273
217000;0,65519625
217100;1,0748378
217200;1,3540395
217300;1,1008415
217400;1,1989707
217500;1,3759718
217600;1,3490771
217700;1,6211307
217800;2,4471734
217900;2,9826813
218000;3,3762484
218100;3,9597104
218200;4,166726
218300;4,121451
218400;2,8009355
218500;1,9811604
218600;2,641538
218700;3,4266896
218800;4,2156415
218900;6,1020794
219000;8,09444
219100;11,516227
219200;15,364036
219300;18,085712
219400;20,009161
219500;21,619062
219600;22,551525
219700;21,637049
219800;20,150404
219900;18,839575
220000;17,596132
220100;16,353025
220200;13,402204
220300;10,299509
220400;8,210737
220500;7,8796782
220600;8,171747
220700;8,1929035
220800;7,9563756
220900;6,8321624
221000;6,3074884
221100;7,5643606
221200;8,084432
221300;6,3521404
221400;5,2858095
221500;5,254061
221600;4,75606
221700;4,0671225
221800;4,1935573
221900;4,6867127
222000;3,983175
222100;3,268012
222200;3,6892822
222300;3,4861352
222400;1,9520396
222500;1,4718225
222600;1,8501482
222700;1,9152203
222800;1,730872
222900;0,9320671
223000;1,1521223
223100;0,96187216
223200;0,5433189
223300;0,90380496
223400;1,4140031
223500;1,4060448
223600;1,6940634
223700;2,225449
223800;1,9344487
223900;1,3139985
224000;1,5179765
224100;1,7586901
224200;1,5560802
224300;1,4668596
224400;1,0593097
224500;0,2613619
224600;0,06295764
224700;0,21596435
224800;0,43507794
224900;0,1650138
225000;0,24084905
225100;0,47755352
225200;0,36396688
225300;0,5602469
225400;1,1396806
225500;0,70259345
225600;0,0623671
225700;0,1
225800;0,14761946
225900;0,47798875
226000;0,98361826
226100;1,246699
226200;0,490794
226300;0,1
226400;0,7578019
226500;1,3900826
226600;0,8296894
226700;0,46041816
226800;0,5112858
226900;0,4154044
227000;0,06571337
227100;0,7297569
227200;1,9249785
227300;1,4214112
227400;1,2088444
227500;1,6559613
227600;1,9220979
227700;1,8469988
227800;1,5442384
227900;1,8058794
228000;2,2911932
228100;3,2345312
228200;3,227437
228300;3,3592787
228400;3,703093
228500;3,9233668
228600;3,428967
228700;2,7266657
228800;2,7045238
228900;3,28281
229000;3,6793902
229100;4,0863705
229200;4,2744164
229300;4,205015
229400;4,726034
229500;5,893121
229600;7,8926897
229700;10,668424
229800;14,073984
229900;17,635015
230000;21,391829
230100;25,086231
230200;27,516325
230300;28,175386
230400;28,404999
230500;27,17331
230600;22,932396
230700;18,150187
230800;14,671802
230900;11,866677
231000;9,215705
231100;6,67579
231200;5,0668297
231300;4,4546485
231400;3,5451863
231500;2,63674
231600;2,856497
231700;3,5265367
231800;3,3770854
231900;3,3491747
232000;2,8071837
232100;2,5229259
232200;2,9928231
232300;3,317993
232400;3,3343196
232500;2,9970396
232600;2,8429458
232700;2,9236403
232800;3,049939
232900;3,3225913
233000;3,4496589
233100;3,259975
233200;2,5904312
233300;2,373266
233400;2,7464712
233500;2,8876288
233600;3,5954735
233700;3,5118484
233800;2,682782
233900;3,0561323
234000;3,1321242
234100;2,8279023
234200;2,056996
234300;2,4918962
234400;3,1604986
234500;3,512597
234600;2,9513927
234700;1,955022
234800;1,7650924
234900;1,9025692
235000;1,8561974
235100;2,5379372
235200;2,7259905
235300;2,634877
235400;2,5143492
235500;2,9094446
235600;3,3795915
235700;3,1997347
235800;2,9266126
235900;2,6382327
236000;3,2487326
236100;4,449004
236200;4,6323643
236300;4,992104
236400;5,933639
236500;5,700437
236600;4,6114044
236700;3,5930274
236800;3,0208685
236900;2,8566008
237000;2,3922648
237100;2,169318
237200;2,1909504
237300;1,9914467
237400;1,5788717
237500;1,535992
237600;0,9888601
237700;0,9734245
237800;1,0003395
237900;1,2300203
238000;1,0431669
238100;0,81922615
238200;1,2042859
238300;1,4040682
238400;1,1333916
238500;1,3376284
238600;1,3257055
238700;1,1714966
238800;0,7904455
238900;0,53710294
239000;0,13887557
239100;0,14742258
239200;0,9006447
239300;1,6596804
239400;1,8350329
239500;1,201334
239600;0,7221322
239700;1,3143089
239800;1,6988617
239900;0,61776567
240000;0,7119582
240100;0,99666065
240200;0,9295598
240300;0,82989687
240400;1,2591733
240500;1,2325275
240600;1,3962978
240700;1,2899104
240800;1,1787698
240900;1,935162
241000;2,1973944
241100;1,688915
241200;1,8154941
241300;2,876975
241400;2,8871098
241500;2,3684993
241600;2,087184
241700;1,9445379
241800;1,7534066
241900;1,7468994
242000;1,794205
242100;1,8236682
242200;2,2888505
242300;2,5503178
242400;2,035011
242500;2,1355653
242600;2,7703836
242700;2,0167565
242800;0,8656182
242900;0,6797807
243000;0,96646273
243100;1,5706359
243200;2,0968502
243300;1,9966806
243400;1,545834
243500;1,7040101
243600;1,8076524
243700;1,4152153
243800;1,3310088
243900;2,013464
244000;2,7315972
244100;2,7397788
244200;2,1968033
244300;1,7176232
244400;1,6074446
244500;1,5319415
244600;1,438932
244700;1,7171668
244800;2,0490696
244900;2,4620705
245000;2,0188189
245100;1,4333452
245200;1,5457406
245300;1,9484646
245400;1,6745982
245500;1,1991788
245600;1,8929038
245700;2,5732126
245800;2,42202
245900;2,5569568
246000;2,554078
246100;3,272523
246200;2,9160361
246300;2,5413764
246400;2,4631472
246500;2,9728985
246600;3,2143905
246700;3,413593
246800;2,9854956
246900;2,3824131
247000;2,7326941
247100;3,5708814
247200;3,437834
247300;2,9333446
247400;2,76077
247500;2,940868
247600;3,0761783
247700;2,8254168
247800;2,9220748
247900;2,9707272
248000;2,05827
248100;1,8100045
248200;2,1859665
248300;2,8753731
248400;2,5081322
248500;1,4340073
248600;1,1262857
248700;1,6525104
248800;2,1909003
248900;1,3088802
249000;0,21335357
249100;0,1
249200;0,06255358
249300;0,8111553
249400;1,0315019
249500;0,91938645
249600;0,9614481
249700;0,9404587
249800;1,1882898
249900;1,8858689
250000;2,5065565
250100;1,5982765
250200;1,6751059
250300;1,0264153
250400;1,0189463
250500;1,1507872
250600;1,2177551
250700;1,4874871
250800;2,0766077
250900;1,718886
251000;0,7962681
251100;0,7721295
251200;0,7220081
251300;0,39297473
251400;0,55635166
251500;1,1449851
251600;1,6450404
251700;1,6942284
251800;1,6090808
251900;1,1909009
252000;0,68872124
252100;0,9896486
252200;0,7572317
252300;0,76401776
252400;1,4022447
252500;1,3753085
252600;1,775844
252700;2,3655994
252800;3,0271866
252900;3,3451774
253000;3,366622
253100;2,9833872
253200;3,0811632
253300;4,3897147
253400;5,046803
253500;3,9888883
253600;2,5413446
253700;2,1837518
253800;2,5916634
253900;2,3409836
254000;2,0411954
254100;2,6506436
254200;2,8797455
254300;2,5654624
254400;2,0109656
254500;1,6253768
254600;2,081279
254700;2,7103384
254800;2,5065248
254900;2,275011
255000;2,4748495
255100;2,1192074
255200;1,5256941
255300;1,6400473
255400;2,2474117
255500;2,0828018
255600;2,1483495
255700;1,6020896
255800;1,5191462
255900;1,6433315
256000;2,3939862
256100;2,673169
256200;2,1783838
256300;1,7824776
256400;2,4717357
256500;2,7648604
256600;2,093328
256700;1,4307344
256800;1,797903
256900;2,004864
257000;1,7261708
257100;1,2834162
257200;0,6997031
257300;0,65612906
257400;1,0908129
257500;1,7378032
257600;1,7488788
257700;1,6235131
257800;1,9853456
257900;2,103315
258000;0,7303165
258100;0,29693785
258200;0,860987
258300;0,64414203
258400;0,32064146
258500;0,5132957
258600;0,28427798
258700;0,94143224
258800;0,67381346
258900;0,1
259000;0,010442857
259100;0,2890849
259200;0,6700009
259300;0,5577815
259400;0,1
259500;0,1
259600;0,25062868
259700;0,33427513
259800;0,7372476
259900;1,3733099
260000;1,9185029
260100;1,878782
260200;1,6637307
260300;1,5904651
260400;1,5276418
260500;1,484212
260600;1,4858176
260700;1,5976127
260800;2,2063658
260900;1,968024
261000;1,213962
261100;1,1436185
261200;0,77080405
261300;0,38740122
261400;0,1994503
261500;0,29405773
261600;1,0378838
261700;1,9780624
261800;2,1128263
261900;2,0880966
262000;2,204251
262100;2,192805
262200;2,6293025
262300;3,3041298
262400;3,5845754
262500;3,0907674
262600;3,2079923
262700;3,1311593
262800;3,4486732
262900;3,4812021
263000;2,7494364
263100;2,6864374
263200;3,343603
263300;3,5177526
263400;3,2572296
263500;3,1745067
263600;3,2415767
263700;3,0214894
263800;3,2924454
263900;3,2630165
264000;3,0239964
264100;3,5746086
264200;4,293716
264300;4,7182493
264400;4,913105
264500;4,1614904
264600;4,2267704
264700;5,4874105
264800;6,091588
264900;6,3512526
265000;8,275087
265100;10,922966
265200;12,855404
265300;12,439339
265400;11,54685
265500;12,051798
265600;11,559955
265700;10,786344
265800;11,65575
265900;10,868625
266000;8,985871
266100;7,990768
266200;7,071879
266300;5,8106866
266400;6,0426903
266500;4,8896503
266600;4,5414023
266700;4,7822943
266800;4,597438
266900;4,2202215
267000;3,3693569
267100;3,012557
267200;2,651577
267300;3,0333705
267400;3,152325
267500;3,3141274
267600;3,0794926
267700;2,849348
267800;2,8470695
267900;2,8854532
268000;2,8450384
268100;2,913071
268200;3,1113415
268300;3,370631
268400;3,5552778
268500;3,4868805
268600;3,4297981
268700;3,1737506
268800;2,5001216
268900;2,1316078
269000;2,7309864
269100;2,636937
269200;2,5567186
269300;2,7762048
269400;2,8570359
269500;3,0804377
269600;3,515598
269700;3,6192055
269800;3,2173767
269900;2,7029936
270000;2,6546106
270100;2,7473116
270200;1,8922609
270300;1,1923205
270400;1,2948841
270500;2,2385547
270600;2,7994537
270700;2,4020667
270800;2,6620173
270900;3,6096034
271000;4,7149405
271100;6,2275004
271200;7,2688956
271300;7,755412
271400;8,20911
271500;9,124052
271600;9,489451
271700;9,716602
271800;10,415679
271900;9,82083
272000;8,436898
272100;7,0649166
272200;6,6333957
272300;5,761404
272400;4,746113
272500;4,492264
272600;4,3652415
272700;4,232531
272800;3,4815445
272900;2,5803394
273000;2,5984294
273100;2,3241184
273200;2,0875473
273300;1,5062181
273400;1,4190595
273500;2,32536
273600;2,5565958
273700;2,4039714
273800;2,432647
273900;1,9779807
274000;1,6388144
274100;2,1362178
274200;1,9755145
274300;0,82055205
274400;0,50893414
274500;0,3130165
274600;0,40528244
274700;0,39954305
274800;0,1
274900;0,1
275000;0,33384022
275100;1,4131646
275200;2,438181
275300;2,4245362
275400;1,8404504
275500;1,2188519
275600;0,7805834
275700;1,144426
275800;1,470081
275900;1,517447
276000;1,3940599
276100;0,6477897
276200;0,8709019
276300;2,39587
276400;3,067509
276500;2,6630526
276600;2,2070508
276700;2,2619987
276800;2,2617924
276900;1,505512
277000;0,9978013
277100;1,1943299
277200;1,2550287
277300;0,52555144
277400;0,02786835
277500;0,023268526
277600;0,94759655
277700;1,1658497
277800;1,2430842
277900;2,0068452
278000;1,4299165
278100;0,8816239
278200;1,3673003
278300;2,182289
278400;2,1086307
278500;1,4739773
278600;1,1541021
278700;0,85020256
278800;1,3424675
278900;1,6662676
279000;1,7951268
279100;1,3626171
279200;1,3512418
279300;1,497535
279400;1,5220575
279500;2,106972
279600;2,5154877
279700;2,2749078
