time;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Knolle;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;ges_Pflanze;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Knolle;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;inf_Pflanze;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung;Wucherung
2,0;1363292,25;1360136,75;1363940,5;1364821,75;1360930,0;1365388,0;1361645,5;1361665,0;1361896,25;1363543,5;1364310,0;1362616,0;1364002,25;1363886,25;1359253,25;1359570,25;1361014,0;1359152,5;1360093,0;1358763,5;1361926,75;1360002,75;1360776,0;1359987,75;1175977,0;1362166,75;1361602,75;1365072,0;1360599,0;1175003,25;1367737,5;1365131,25;1362685,75;1362803,0;1360710,25;1356365,5;1356357,75;1357172,25;1361139,75;1356692,5;1364179,25;1361010,25;1363033,5;1361832,75;1358296,75;1367659,25;1366075,5;1363378,25;1364937,75;1363342,25;1361994,5;1359152,25;1360375,25;1360886,75;1359508,25;1360688,5;1361236,75;1364620,5;1362204,25;1175217,0;1359551,25;1360578,5;1358985,5;1358547,5;1363549,75;1357214,0;1163483,25;1356357,75;1361482,75;1362562,5;1365521,0;1363531,0;1360420,0;1364344,5;1364740,0;1362112,25;1364166,75;1366540,25;1362336,75;1363784,5;1363866,0;1358714,5;1357947,75;1359782,25;1360950,5;1357185,5;1362598,5;1360727,0;1360618,5;1360639,75;1360280,5;1182133,0;1357389,0;1357100,0;1359994,0;1357403,5;1360011,5;1358048,5;1361381,75;1364969,75;1362048,0;1363301,75;1361535,25;1366355,25;1364050,5;1362543,75;1360357,5;1360031,75;1367112,75;1366418,5;1366274,25;1366025,25;1368142,25;1367165,25;1371217,25;1368398,75;1367895,5;1367703,5;1362088,5;1368606,0;1365117,5;1364474,25;1363355,5;1361713,0;1363886,25;1363293,25;1365012,25;1361006,75;1362114,0;1360442,25;1360236,25;1360545,5;1366566,25;1362966,75;1359264,0;1357368,0;1356357,75;1173845,25;1363940,75;1361608,0;1362863,75;1170062,5;1359175,5;1360816,5;1356667,25;1358399,25;1363976,0;1174503,25;1365053,75;1367191,5;1359191,75;1363240,25;1362945,0;1360190,25;1359238,0;1360406,0;1364554,0;1366245,0;1362463,0;1361314,25;1356357,75
2,01;1725,4;667,0;1393,8;2204,4;1106,6;782,4;1498,6;1599,6;1965,0;890,4;1852,2;818,2;1974,6;2468,4;1157,0;1075,4;2312,0;952,6;1311,2;986,0;1463,2;1009,2;826,0;640,2;1135,6;1303,4;876,2;1259,0;1192,6;1208,6;1743,0;1448,0;820,2;1113,0;784,4;2756,6;1245,2;370,4;1763,8;1478,8;1596,2;1490,8;1104,4;2129,8;725,4;478,8;1953,0;1134,0;994,2;1502,8;1018,0;364,0;798,2;587,2;527,2;696,2;1254,4;720,8;1161,8;1763,2;1124,6;1259,4;1223,2;1513,8;1715,2;822,6;652,0;1245,2;1629,8;2992,4;579,0;1319,4;900,6;1211,0;1555,0;2812,8;9296,4;4635,8;31481,0;27782,4;20762,6;1047,4;2574,6;744,8;5629,4;132,0;28685,4;11236,0;21630,8;26767,4;56729,2;5491,8;44279,6;46047,4;48302,2;49871,0;52131,0;623,4;1167,2;878,4;6198,8;1531,8;843,8;957,4;2274,8;1775,2;1851,4;752,4;1255,4;2406,8;2504,8;2670,6;1713,6;1433,0;1271,8;469,0;1734,8;1189,0;1807,6;1833,8;2192,6;1464,4;1963,0;1994,0;1474,8;1277,6;1622,0;4159,4;4212,8;1095,4;1144,2;1686,2;591,4;1232,8;1079,2;1310,4;1245,2;977,8;1181,6;1163,6;1260,6;1703,4;1587,6;614,2;998,0;1121,4;1789,0;642,0;1340,6;1595,8;680,4;1258,4;1688,6;3431,4;1613,2;1364,4;760,0;1051,2;356,2;1550,2;1245,2
2,02;7203,0;3699,4285714285716;4774,857142857143;5192,285714285715;6300,857142857143;8009,285714285715;6399,0;5416,714285714285;7370,0;7505,428571428572;6514,571428571428;6340,714285714285;8151,571428571428;6687,285714285715;7127,428571428572;7175,142857142857;7730,571428571428;6718,142857142857;6299,857142857143;15123,285714285714;24340,85714285714;12352,142857142857;13822,0;14217,0;15400,714285714286;11091,142857142857;12130,285714285714;18570,0;9403,57142857143;13320,142857142857;12097,857142857143;7803,285714285715;8063,428571428572;6360,142857142857;6916,0;5529,428571428572;9170,857142857143;3661,0;6170,857142857143;4672,0;6795,0;4222,714285714285;6828,714285714285;7178,428571428572;4208,714285714285;12296,142857142857;20376,571428571428;33594,57142857143;23525,714285714286;8813,42857142857;6730,571428571428;10828,0;6376,0;7875,571428571428;5160,285714285715;6375,428571428572;8802,285714285714;13783,142857142857;10744,142857142857;14731,714285714286;9995,285714285714;9047,285714285714;20599,285714285714;16372,0;6786,0;22754,714285714286;4823,428571428572;9170,857142857143;100734,14285714286;293726,28571428574;62211,857142857145;37425,57142857143;39644,857142857145;70173,57142857143;283687,85714285716;80069,85714285714;678083,1428571428;446846,85714285716;2491738,285714286;3747418,4285714286;4464562,571428572;2977107,8571428573;3159578,8571428573;690804,5714285715;4525642,142857143;92366,42857142857;1740940,0;1050526,7142857143;1494363,4285714286;1942167,0;6167424,142857143;511755,4285714286;3055282,0;2718456,5714285714;3939825,5714285714;4488337,857142857;4663277,714285715;10687,57142857143;9459,42857142857;16680,428571428572;819843,4285714285;5678,714285714285;7199,428571428572;11408,142857142857;7580,0;9411,857142857143;12473,57142857143;3606,285714285714;4163,142857142857;7553,571428571428;4706,571428571428;11661,0;7407,0;7117,428571428572;8246,0;4810,857142857143;9877,285714285714;432017,0;1109850,0;247545,2857142857;564543,1428571428;5479,857142857143;7661,285714285715;7884,714285714285;7988,142857142857;10551,57142857143;9817,142857142857;9742,0;9218,0;8042,571428571428;10087,42857142857;5986,285714285715;6527,714285714285;5762,142857142857;5765,285714285715;7188,857142857143;9170,857142857143;11504,714285714286;11083,857142857143;7457,285714285715;13660,42857142857;14786,42857142857;10537,142857142857;5744,142857142857;9155,857142857143;9375,285714285714;9919,57142857143;10150,142857142857;9286,0;9463,42857142857;9717,714285714286;13478,57142857143;10579,857142857143;10854,285714285714;7558,428571428572;9170,285714285714;6522,857142857143;6396,142857142857;8299,0;6253,714285714285;9170,857142857143
2,03;10220,0;5197,6;5838,8;6882,2;7394,0;10020,0;7931,8;7333,8;7945,4;8719,2;7225,0;10808,2;11648,8;7020,8;7956,2;7844,4;9354,0;6417,2;6081,2;17934,8;29001,4;17515,8;21017,2;21811,2;14386,6;21666,2;8780,4;18824,2;8359,0;14471,2;17670,2;13702,6;11943,2;8131,8;9074,2;8454,8;7146,8;5344,6;7295,2;5931,6;7742,2;8669,4;6557,0;8006,6;4868,0;22944,8;52354,0;43066,6;31872,4;11146,8;6694,8;12768,0;6870,6;9821,2;5563,6;9564,6;9664,4;15934,6;16343,6;16381,0;13249,6;11373,0;25599,0;18220,4;7484,2;23804,2;4770,2;7146,8;3619676,6;2711142,4;1941006,4;43544,6;84058,0;82665,8;676740,4;191582,6;303000,8;226457,6;869546,6;1458952,4;1980549,0;3718393,4;2272997,2;1924640,8;2960940,6;1066071,2;559956,6;479034,2;520041,2;600001,8;1826938,4;289898,8;808197,6;666604,6;1078160,6;1185104,6;1213750,8;17052,8;14577,8;29277,0;732259,4;7147,6;11578,8;15760,2;9304,6;11515,8;15793,2;4262,6;3911,2;7268,0;6185,0;13264,6;6042,2;5999,8;8335,8;9153,8;260742,0;2090537,6;1676673,0;483632,6;2068962,6;6907,6;10780,4;11124,4;8249,2;18382,4;10196,8;9416,4;12669,4;7813,0;8574,0;8266,4;8081,6;7525,0;5510,2;6726,8;7146,8;12698,2;13460,2;9332,0;14926,0;16599,8;12669,2;8066,2;10458,0;12386,8;10843,8;13142,8;12772,2;13509,2;16122,6;16601,6;12974,8;14373,0;8262,6;12361,2;7017,0;9739,8;7309,2;6702,8;7146,8
2,04;11113,285714285714;5524,142857142857;7875,857142857143;8959,714285714286;6361,428571428572;7350,571428571428;5850,714285714285;6330,142857142857;9414,0;7498,428571428572;6100,857142857143;7613,857142857143;9495,142857142857;8714,0;8122,0;8744,285714285714;10619,714285714286;6397,571428571428;8729,42857142857;15067,142857142857;23334,85714285714;13108,285714285714;18536,0;16785,14285714286;20486,0;26031,85714285714;14169,714285714286;22907,85714285714;10137,0;17373,428571428572;10674,42857142857;12099,57142857143;9347,0;8249,857142857143;11938,142857142857;8606,857142857143;8798,57142857143;5390,0;6712,571428571428;6858,857142857143;7122,0;6465,857142857143;7472,285714285715;7290,714285714285;4062,1428571428573;30178,428571428572;78126,71428571429;72080,0;32802,57142857143;11516,285714285714;8820,142857142857;13077,42857142857;5998,0;8472,142857142857;6814,428571428572;7960,0;9084,42857142857;14154,142857142857;13121,714285714286;15973,714285714286;12153,0;10203,285714285714;25658,714285714286;18036,285714285714;10687,57142857143;23520,285714285714;4666,0;8798,57142857143;2764242,285714286;1427424,4285714286;2062155,0;47909,57142857143;79886,42857142857;832063,5714285715;4092656,285714286;2887103,0;170827,42857142858;117587,71428571429;341521,0;486677,28571428574;609604,4285714285;1065726,5714285714;700742,1428571428;717162,0;824697,2857142857;535797,8571428572;239166,7142857143;208745,0;231957,0;274381,5714285714;524828,5714285715;144724,85714285713;314801,28571428574;301006,0;375646,5714285714;407216,0;404717,85714285716;19469,285714285714;29750,571428571428;85619,42857142857;496130,0;11939,714285714286;16332,57142857143;21570,571428571428;13706,0;11464,0;14637,42857142857;4338,857142857143;3496,714285714286;6977,0;5366,714285714285;12965,142857142857;6858,0;4760,428571428572;12755,857142857143;9212,142857142857;409471,85714285716;797786,5714285715;404204,0;217916,42857142858;726368,5714285715;7743,714285714285;8468,714285714286;9523,57142857143;7324,714285714285;13449,42857142857;4736,142857142857;6276,428571428572;11841,57142857143;7197,285714285715;6277,714285714285;5934,0;5329,714285714285;8732,285714285714;6150,0;6848,0;8798,57142857143;14617,714285714286;14614,142857142857;11012,0;12058,714285714286;13679,142857142857;15022,714285714286;8882,0;12131,42857142857;13365,857142857143;12878,57142857143;16243,714285714286;15656,57142857143;18879,85714285714;21144,85714285714;21328,285714285714;21691,428571428572;18443,85714285714;10541,714285714286;13276,0;8309,857142857143;11841,42857142857;11623,57142857143;8668,57142857143;8798,57142857143
2,05;13909,6;4520,0;8678,8;7603,0;6919,2;7475,2;7174,0;5161,2;10591,8;6749,6;5708,8;8217,4;7204,2;5865,0;7002,6;8245,2;9224,6;3469,0;7133,2;16873,8;34410,6;12514,6;19084,6;15038,6;21353,6;29630,6;19125,2;28862,0;19182,6;24659,2;17992,4;11900,2;8263,2;9003,8;9326,8;12336,4;10462,6;8409,8;8526,6;9630,0;5964,8;6964,2;6647,6;6224,0;6068,2;22129,0;51451,2;68169,4;40940,0;11296,6;7788,2;11303,8;7254,6;9144,4;7953,0;10402,8;12344,4;14047,0;13141,8;19430,4;13784,4;14590,0;22025,0;20899,4;14554,8;22966,6;6346,8;10462,6;761655,8;445410,0;659865,2;1012830,6;77110,0;3412121,4;2810655,2;1625994,2;108760,0;63878,2;159168,0;203658,4;241335,2;337237,8;252329,4;250754,4;286371,8;197455,6;131920,4;99634,4;128058,6;160355,4;226032,0;72581,6;154408,0;168932,4;170867,6;189742,0;189208,0;33907,4;45260,8;66173,0;417496,2;11219,6;13747,6;26682,0;14850,6;9869,8;15327,2;7196,2;6500,4;7070,4;5531,4;15544,2;7190,6;4066,4;15182,0;10916,0;153976,6;222952,6;121806,4;92613,2;192261,2;6001,6;9382,4;8580,6;9335,8;11922,4;3040,2;4985,2;9213,6;8466,0;7605,6;6276,2;6879,8;7825,2;10529,4;7432,0;10462,6;17958,2;19790,2;11090,6;12692,4;17382,0;15794,4;13341,6;12507,0;10271,4;13176,8;21576,4;18583,8;11625,2;12887,0;22748,2;18690,4;12113,2;7818,2;10383,0;29091,4;43455,0;9098,4;11768,4;10462,6
2,06;11768,57142857143;4638,571428571428;9876,285714285714;5923,428571428572;5337,0;7436,714285714285;8289,0;6390,428571428572;12788,42857142857;10105,42857142857;9617,857142857143;10312,857142857143;8798,714285714286;6617,714285714285;6579,0;7918,285714285715;6786,428571428572;4444,571428571428;6031,857142857143;20544,285714285714;28538,14285714286;17933,0;26132,85714285714;22424,285714285714;19784,14285714286;25384,571428571428;15820,857142857143;24299,285714285714;19028,714285714286;22365,14285714286;22474,285714285714;17419,285714285714;11649,42857142857;6960,857142857143;6252,0;9542,42857142857;6272,285714285715;7002,285714285715;7974,571428571428;14429,42857142857;8354,714285714286;6638,0;8864,0;7417,285714285715;6907,285714285715;20124,14285714286;39161,57142857143;51053,42857142857;40437,142857142855;13530,285714285714;8328,42857142857;10424,57142857143;6337,142857142857;8909,714285714286;7971,285714285715;14731,285714285714;11176,0;17816,0;14585,42857142857;20886,428571428572;17439,571428571428;14952,714285714286;27390,571428571428;21891,85714285714;12718,857142857143;27896,428571428572;5797,428571428572;6272,285714285715;286886,5714285714;196260,85714285713;255859,57142857142;925515,5714285715;1709136,0;1385469,4285714286;1631250,4285714286;517745,4285714286;84041,71428571429;46127,142857142855;105785,85714285714;121957,14285714286;139155,14285714287;164264,7142857143;130523,57142857143;119136,85714285714;153406,7142857143;93309,14285714286;88372,42857142857;62957,42857142857;88925,42857142857;116392,71428571429;139959,0;44102,42857142857;101562,71428571429;120473,85714285714;111895,71428571429;124163,28571428571;120867,85714285714;35101,0;29545,14285714286;45173,28571428572;363640,0;6162,285714285715;10705,285714285714;25342,14285714286;10502,285714285714;10405,857142857143;17965,85714285714;6944,285714285715;6930,714285714285;8481,42857142857;8793,857142857143;14714,142857142857;7193,142857142857;6289,0;12345,142857142857;10976,0;68564,57142857143;97099,42857142857;61777,0;49459,71428571428;82685,71428571429;8576,142857142857;10848,714285714286;10950,714285714286;9892,714285714286;16053,142857142857;4275,714285714285;8766,714285714286;10147,0;10698,0;11214,0;8578,714285714286;6025,571428571428;6212,571428571428;5251,857142857143;6126,571428571428;6272,285714285715;18217,0;16942,0;13824,0;15433,857142857143;18599,0;15900,142857142857;13736,857142857143;14387,857142857143;15713,57142857143;17197,285714285714;13149,0;12123,142857142857;11673,142857142857;15930,42857142857;17474,571428571428;13632,714285714286;15354,0;8076,428571428572;10809,142857142857;55306,57142857143;36965,71428571428;17445,85714285714;11184,0;6272,285714285715
2,07;13262,8;7316,2;11600,0;12120,2;6567,0;8326,0;7376,2;5655,6;11905,0;8776,4;9758,0;12055,2;10548,2;9925,8;6097,4;7879,4;8258,2;6837,6;5165,8;15990,0;22521,4;12626,4;20730,2;19209,2;17388,0;22775,6;12508,4;22155,2;16856,4;19139,4;18690,2;16550,8;14375,8;6359,0;10792,8;9510,2;5808,8;8995,4;13903,0;9893,6;10440,6;7334,2;9005,6;7456,2;5728,0;17509,4;32696,6;44272,6;34008,0;16116,8;6610,0;12584,8;8930,8;10322,0;7692,4;13479,4;9242,2;16754,6;17562,2;17520,4;12965,0;15761,8;24297,4;22345,8;13327,6;22885,8;4349,6;5808,8;143490,6;111416,4;128853,2;338764,6;1201523,2;416039,2;463522,8;206435,0;67815,2;34525,4;80157,8;87750,6;98651,6;103445,4;86044,0;68138,0;102117,2;49919,6;65512,0;45283,0;66200,4;89308,4;100296,0;32055,8;76631,0;92063,0;81505,0;94957,0;90927,6;23372,4;19245,0;33936,8;319927,2;8746,2;12781,8;27531,4;9963,2;7695,8;14855,2;6762,2;5797,0;7470,6;9051,6;13726,6;7401,0;7354,4;11021,2;9613,6;36946,2;53107,4;34504,8;32645,6;48463,8;9369,8;9831,8;14526,2;12248,6;15591,6;7563,8;9283,8;11237,2;9631,4;11421,2;8415,0;5801,8;9326,2;6590,2;5103,0;5808,8;17941,2;13527,6;11185,4;18475,0;16710,8;12425,6;16283,4;8881,8;13388,8;14440,8;19372,4;12170,0;14729,8;19572,8;18458,2;16658,0;17030,2;11513,8;12889,2;26540,4;21897,2;27423,8;15893,0;5808,8
2,08;18493,85714285714;9161,57142857143;13005,285714285714;13301,285714285714;5150,428571428572;7448,142857142857;6416,285714285715;2860,4285714285716;10539,285714285714;8536,714285714286;8401,42857142857;9583,285714285714;7921,714285714285;9328,42857142857;8924,0;10863,857142857143;12315,714285714286;9802,285714285714;11036,42857142857;13259,0;19424,428571428572;11668,714285714286;17530,571428571428;17488,14285714286;16205,42857142857;20110,14285714286;11591,142857142857;19137,714285714286;15522,42857142857;17326,428571428572;16458,714285714286;15834,0;12434,857142857143;9368,714285714286;13911,142857142857;13560,42857142857;9577,0;11076,857142857143;15929,57142857143;5359,571428571428;9101,285714285714;7595,714285714285;6858,714285714285;6953,857142857143;3894,4285714285716;17976,85714285714;29651,85714285714;36923,71428571428;29043,714285714286;13538,714285714286;8592,57142857143;13454,142857142857;9151,0;12119,0;11266,57142857143;13787,714285714286;8593,714285714286;14512,285714285714;14871,714285714286;17763,285714285714;12270,42857142857;12229,42857142857;22729,571428571428;18156,14285714286;14367,142857142857;20894,85714285714;8724,857142857143;9577,0;95943,42857142857;82256,42857142857;87213,42857142857;148382,2857142857;413221,71428571426;183219,57142857142;185786,7142857143;118381,42857142857;59290,142857142855;27635,285714285714;66907,14285714286;67918,14285714286;76968,71428571429;78350,57142857143;66226,71428571429;50312,857142857145;79482,57142857143;31888,85714285714;55675,71428571428;36088,28571428572;53302,142857142855;72409,28571428571;78318,0;24840,714285714286;62631,42857142857;75988,28571428571;66078,14285714286;76461,57142857143;74437,85714285714;17195,85714285714;17023,85714285714;27533,428571428572;281049,71428571426;11426,57142857143;13319,714285714286;37209,42857142857;10337,57142857143;7350,142857142857;14886,0;7575,285714285715;6072,428571428572;7235,428571428572;6804,428571428572;12893,57142857143;8198,142857142857;8090,428571428572;9466,42857142857;6303,428571428572;22768,571428571428;36552,0;23903,0;24661,571428571428;34976,857142857145;9030,57142857143;8356,142857142857;12546,57142857143;10317,142857142857;16367,42857142857;6869,0;9576,42857142857;10324,142857142857;10621,42857142857;11130,714285714286;8729,57142857143;8359,0;10329,714285714286;10390,57142857143;8389,285714285714;9577,0;17012,14285714286;15778,57142857143;10922,142857142857;16425,14285714286;12800,285714285714;11246,857142857143;16457,428571428572;8965,142857142857;12506,142857142857;14413,0;17282,571428571428;13789,142857142857;12755,57142857143;14097,714285714286;22681,85714285714;17341,285714285714;16508,0;9783,714285714286;12446,0;11333,714285714286;15077,714285714286;18379,428571428572;24420,0;9577,0
2,09;15218,6;6137,0;11026,0;11906,0;5311,0;9567,0;6003,4;7520,0;10457,6;8724,0;8294,2;9961,0;9829,6;8696,6;8380,4;10799,6;12224,2;7503,6;9351,0;12342,4;18657,0;14090,4;15387,4;15940,4;14492,0;17962,2;9999,8;18001,8;13156,2;15170,2;13847,4;12652,4;12411,6;11336,0;11114,0;9590,8;7636,8;11080,0;16778,8;5493,6;10488,6;7393,6;6689,6;6864,6;7158,0;15210,6;28622,6;37263,4;27639,0;12345,6;7994,6;12702,8;9496,0;11295,4;10907,8;12065,0;8272,8;15812,0;13748,6;19275,8;12873,8;10619,2;23193,0;16900,4;17066,4;23185,4;7999,2;7636,8;72400,6;67038,0;63969,2;78248,8;166014,8;104539,2;122394,2;80711,8;53365,4;23317,8;53763,4;53448,2;63616,2;62919,8;53101,4;36935,8;63729,4;23195,6;51540,8;30881,8;48500,2;62317,6;65819,0;21445,0;51794,6;67557,2;55694,6;67696,2;61041,0;12263,4;14874,0;23892,4;249056,0;10037,6;12229,8;50089,4;11064,4;8646,8;11112,8;6978,0;6526,6;7784,6;5794,2;11894,6;8262,6;7625,4;9459,4;5992,2;19206,6;28661,4;18650,0;21879,0;28675,8;8951,4;7993,4;11682,0;10961,4;13376,4;6236,2;10127,0;9337,6;10222,4;8882,6;7955,4;8456,4;10964,6;8034,2;9105,8;7636,8;19201,0;18695,2;12106,4;13357,2;12205,6;13622,6;12912,6;13452,8;14958,0;12805,8;16537,6;13552,6;11298,8;14317,2;20432,4;16044,4;13833,6;9962,4;10305,4;8243,2;10063,6;14416,6;16688,8;7636,8
